Outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKPRN,Institution,MainPanel,uoaId,UnitOfAssessment,msubId,MultipleSubmission,JointSubmission,OutputTypeId,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsForeignLanguageOutput,IsInterdisciplinary,ProposeDoubleWeighting,ResearchGroup,CitationsApplicable,CitedByCount,CrossReferToUoa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution code (UKPRN),Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Year,URL,Number of additional authors,Non-english,Interdisciplinary,Proposed double-weighted,Research group,Citations applicable,Citation count,Cross- referral requested
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,A characterisation of the boundary displacements which induce cavitation in an elastic body,,,Journal of Elasticity,109,1,1,,,0374-3535,10.1007/s10659-011-9366-x,,2012,http://dx.doi.org/10.1007/s10659-011-9366-x,1,,,,Analysis & Differential equations,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,A class of differential-delay systems with hysteresis: asymptotic behaviour of solutions,,,Nonlinear Analysis: Theory Methods & Applications,69,1,363,,,0362-546X,10.1016/j.na.2007.05.025,,2008,http://dx.doi.org/10.1016/j.na.2007.05.025,2,,,,Mathematical control theory,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,A convergent adaptive method for elliptic eigenvalue problems,,,SIAM Journal on Numerical Analysis (SINUM),47,2,1067,,,0036-1429,10.1137/070697264,,2009,http://dx.doi.org/10.1137/070697264,1,,,,Numerical analysis,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,A generic multiplication in quantized Schur algebras,,,The Quarterly Journal of Mathematics,61,4,497,,,0033-5606,10.1093/qmath/hap016,,2010,http://dx.doi.org/10.1093/qmath/hap016,0,,,,Algebra & Geometry,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,A geometric Ginzburg-Landau problem,,,Mathematische Zeitschrift,273,3-4,771,,,0025-5874,10.1007/s00209-012-1029-5,,2013,http://dx.doi.org/10.1007/s00209-012-1029-5,0,,,,Analysis & Differential equations,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,A model equation for wavepacket solitary waves arising from capillary-gravity flows,,,Studies in Applied Mathematics,122,3,249,,,0022-2526,10.1111/j.1467-9590.2009.00432.x,,2009,http://dx.doi.org/10.1111/j.1467-9590.2009.00432.x,1,,,,Continuum mechanics,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,A new frequency-uniform coercive boundary integral equation for acoustic scattering,,,Communications on Pure and Applied Mathematics,64,10,1384,,,0010-3640,10.1002/cpa.20378,,2011,http://dx.doi.org/10.1002/cpa.20378,3,,,,Analysis & Differential equations,,,
