Outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKPRN,Institution,MainPanel,uoaId,UnitOfAssessment,msubId,MultipleSubmission,JointSubmission,OutputTypeId,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsForeignLanguageOutput,IsInterdisciplinary,ProposeDoubleWeighting,ResearchGroup,CitationsApplicable,CitedByCount,CrossReferToUoa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution code (UKPRN),Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Year,URL,Number of additional authors,Non-english,Interdisciplinary,Proposed double-weighted,Research group,Citations applicable,Citation count,Cross- referral requested
10007759,Aston University,B,11,Computer Science and Informatics, ,,,D,A Bayesian perspective on stochastic neurocontrol,,,IEEE transactions on neural networks and learning systems,19,5,914,,,1045-9227,10.1109/TNN.2007.915107,,2008,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4479861,1,,,,Nonlinearity and Complexity Research Group,Yes,7,
10007759,Aston University,B,11,Computer Science and Informatics, ,,,E,A goal-based modeling approach to develop requirements of an adaptive system with environmental uncertainty,,,"Model driven engineering languages and systems : 12th international conference, MODELS 2009, Denver, CO, USA, October 4-9, 2009 : proceedings",,5795,468,,,0302-9743,10.1007/978-3-642-04425-0_36,,2009,http://link.springer.com/chapter/10.1007%2F978-3-642-04425-0_36,3,,,,Computer Science Research Group,Yes,24,
10007759,Aston University,B,11,Computer Science and Informatics, ,,,D,A preliminary study into emergent behaviours in a lattice of interacting nonlinear resonators and oscillators,,,Communications in nonlinear science and numerical simulation,16,7,2945,,,1007-5704,10.1016/j.cnsns.2010.09.011,,2011,http://dx.doi.org/10.1016/j.cnsns.2010.09.011,2,,,,Nonlinearity and Complexity Research Group,Yes,2,
10007759,Aston University,B,11,Computer Science and Informatics, ,,,E,A probabilistic model for trust and reputation,,,Proceedings of the 9th International Conference on Autonomous Agents and Multiagent Systems,,,225,,,,,,2010,http://www.aamas-conference.org/Proceedings/aamas2010/pdf/01%20Full%20Papers/04_03_FP_0533.pdf,2,,,,Computer Science Research Group,Yes,,
10007759,Aston University,B,11,Computer Science and Informatics, ,,,E,An aspect-oriented and model-driven approach for managing dynamic variability,,,"Model driven engineering languages and systems : 11th international conference, MoDELS 2008, Toulouse, France, September 28 - October 3, 2008 : proceedings",,5301,782,,,0302-9743,10.1007/978-3-540-87875-9_54,,2008,http://link.springer.com/chapter/10.1007%2F978-3-540-87875-9_54,6,,,,Computer Science Research Group,Yes,15,
10007759,Aston University,B,11,Computer Science and Informatics, ,,,D,An integrated view of data quality in earth observation,,,Philosophical transactions A,371,1983,N/A,20120072,,1364-503X,10.1098/rsta.2012.0072,,2012,http://rsta.royalsocietypublishing.org/cgi/reprint/rsta.2012.0072?ijkey=giUJrLzZ1HoDWsL&keytype=ref,8,,,,Computer Science Research Group,Yes,3,
10007759,Aston University,B,11,Computer Science and Informatics, ,,,D,"Automatic processing, quality assurance and serving of real-time weather data",,,Computers and geosciences,37,3,353,,,0098-3004,10.1016/j.cageo.2010.05.010,,2011,,4,,,,Nonlinearity and Complexity Research Group,Yes,9,
