Outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKPRN,Institution,MainPanel,uoaId,UnitOfAssessment,msubId,MultipleSubmission,JointSubmission,OutputTypeId,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsForeignLanguageOutput,IsInterdisciplinary,ProposeDoubleWeighting,ResearchGroup,CitationsApplicable,CitedByCount,CrossReferToUoa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution code (UKPRN),Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Year,URL,Number of additional authors,Non-english,Interdisciplinary,Proposed double-weighted,Research group,Citations applicable,Citation count,Cross- referral requested
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,270-km ultralong raman fiber laser,,,Physical review letters,103,13,133901,133901,,0031-9007,10.1103/PhysRevLett.103.133901,,2009,http://link.aps.org/doi/10.1103/PhysRevLett.103.133901,9,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,827nm Bragg grating sensor in multimode microstructured polymer optical fibre,,,Electronics letters,46,17,1217,,,0013-5194,10.1049/el.2010.1595,,2010,http://dx.doi.org/10.1049/el.2010.1595,2,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,A series-dynamic-resistor-based converter protection scheme for doubly-fed induction generator during various fault conditions,,,IEEE transactions on energy conversion,25,2,422,5404230,,0885-8969,10.1109/TEC.2009.2037970,,2010,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=5404230,2,,,,Power Engineering and Power Electronics Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Activated polarization pulling and de-correlation of signal and pump states of polarization in fiber Raman amplifier,,,Optics express,19,24,24268,,,1094-4087,10.1364/OE.19.024268,,2011,http://www.opticsinfobase.org/oe/abstract.cfm?URI=oe-19-24-24268,0,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Adaptive congestion control for DSRC vehicle networks,,,IEEE communications letters,14,2,127,5403609,,1089-7798,10.1109/LCOMM.2010.02.092002,,2010,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=5403609,3,,,,Adaptive Communications Networks Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,All-fiber passively mode-locked femtosecond laser using a 45º-tilted fiber grating polarization element,,,Optics express,18,18,18906,,,1094-4087,10.1364/OE.18.018906,,2010,http://www.opticsinfobase.org/abstract.cfm?URI=oe-18-18-18906,5,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,All-optical phase and amplitude regenerator for next-generation telecommunications systems,,,Nature photonics,4,10,690,,,1749-4885,10.1038/nphoton.2010.203,,2010,http://www.nature.com/nphoton/journal/v4/n10/full/nphoton.2010.203.html,18,,,,Aston Institute of Photonic Technologies,,,
