Outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKPRN,Institution,MainPanel,uoaId,UnitOfAssessment,msubId,MultipleSubmission,JointSubmission,OutputTypeId,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsForeignLanguageOutput,IsInterdisciplinary,ProposeDoubleWeighting,ResearchGroup,CitationsApplicable,CitedByCount,CrossReferToUoa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution code (UKPRN),Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Year,URL,Number of additional authors,Non-english,Interdisciplinary,Proposed double-weighted,Research group,Citations applicable,Citation count,Cross- referral requested
10000291,Anglia Ruskin University,B,15,General Engineering, ,,,D,A Novel Weighted Distributed Clustering Algorithm for Mobile Ad hoc Networks,,,ACM Jordan ISWSA Professional Chapter,1,3,,6,,2078-7952,,,2010,http://www.researchgate.net/publication/46194426_A_Novel_Weighted_Distributed_Clustering_Algorithm_for_Mobile_Ad_hoc_Networks,3,,,,,,,
10000291,Anglia Ruskin University,B,15,General Engineering, ,,,D,An analytical approach for analysis and optimisation of slider bearings with infinite width parallel textures,,,Tribology International,43,8,1551,,,0301679X,10.1016/j.triboint.2010.02.016,,2010,http://www.sciencedirect.com/science/article/pii/S0301679X10000629,3,,,,,,,
10000291,Anglia Ruskin University,B,15,General Engineering, ,,,D,An Improved FPGA Implementation of Direct Torque Control for Induction Machines,,,IEEE Transactions on Industrial Informatics,9,3,1280,,,1941-0050,10.1109/TII.2012.2222420,,2013,,3,,,,,,,
10000291,Anglia Ruskin University,B,15,General Engineering, ,,,D,AN INVESTIGATION INTO AIR-SAND-WATER THREE-PHASE FLOW THROUGH THE SANDBLASTING NOZZLE,,,Journal of Computational Multiphase Flows,5,3,207,,,1757-482X,,,2013,,4,,,,,,,
10000291,Anglia Ruskin University,B,15,General Engineering, ,,,D,Analytical analysis and optimisation of the Rayleigh step slider bearing,,,Tribology International,42,5,666,,,0301679X,10.1016/j.triboint.2008.09.002,,2009,http://www.sciencedirect.com/science/article/pii/S0301679X0800203X,2,,,,,,,
10000291,Anglia Ruskin University,B,15,General Engineering, ,,,E,Analytical techniques for the simulation of electron transport in semiconductor systems,,,Proceedings of the International Conference on Optimisation of Electrical and Electronic Equipment,,,822,,,1842-0133,10.1109/OPTIM.2012.6231948,,2012,,3,,,,,,,
10000291,Anglia Ruskin University,B,15,General Engineering, ,,,D,Application of Shell Elements to Create Advanced Finite Element Model for Offset Deformable Barrier,,,International Journal of Vehicle Structures & Systems,3,2,139,,,0975-3060,,,2011,http://www.ijvss.maftree.org/index.php?journal=ijvss&page=issue&op=view&path%5B%5D=18,1,,,,,,,
