Outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKPRN,Institution,MainPanel,uoaId,UnitOfAssessment,msubId,MultipleSubmission,JointSubmission,OutputTypeId,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsForeignLanguageOutput,IsInterdisciplinary,ProposeDoubleWeighting,ResearchGroup,CitationsApplicable,CitedByCount,CrossReferToUoa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution code (UKPRN),Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Year,URL,Number of additional authors,Non-english,Interdisciplinary,Proposed double-weighted,Research group,Citations applicable,Citation count,Cross- referral requested
10000291,Anglia Ruskin University,C,17,"Geography, Environmental Studies and Archaeology", ,,,D,400-year May–August precipitation reconstruction for Southern England using oxygen isotopes in tree rings,,,Quaternary Science Reviews,60,15,13,,,02773791,10.1016/j.quascirev.2012.10.048,,2013,http://www.sciencedirect.com/science/article/pii/S0277379112004544,3,,,,,,,
10000291,Anglia Ruskin University,C,17,"Geography, Environmental Studies and Archaeology", ,,,D,A comparison of created and ancient fenland using ground beetles as a measure of conservation value,,,Insect Conservation and Diversity,5,4,251,,,1752458X,10.1111/j.1752-4598.2011.00159.x,,2012,http://onlinelibrary.wiley.com/doi/10.1111/j.1752-4598.2011.00159.x/abstract,2,,,,,,,
10000291,Anglia Ruskin University,C,17,"Geography, Environmental Studies and Archaeology", ,,,D,A fungal pathogen in time and space: the population dynamics of Beauveria bassiana in a conifer forest,,,FEMS Microbiol Ecol,74,1,146,,,1574-6941,10.1111/j.1574-6941.2010.00939.x,,2010,http://onlinelibrary.wiley.com/doi/10.1111/j.1574-6941.2010.00939.x/abstract,4,,,,,,,
10000291,Anglia Ruskin University,C,17,"Geography, Environmental Studies and Archaeology", ,,,D,Acoustic estimates of commercial fish species in Lake Victoria: Moving towards ecosystem-based fisheries management,,,Fisheries Research,139,,65,,,01657836,10.1016/j.fishres.2012.09.019,,2013,http://www.sciencedirect.com/science/article/pii/S0165783612002962,2,,,,,,,
10000291,Anglia Ruskin University,C,17,"Geography, Environmental Studies and Archaeology", ,,,D,An investigation of ecological correlates with hand and foot morphology in callitrichid primates,,,American Journal of Physical Anthropology,152,4,447,,,00029483,10.1002/ajpa.22378,,2013,http://onlinelibrary.wiley.com/doi/10.1002/ajpa.22378/abstract,1,,,,,,,
10000291,Anglia Ruskin University,C,17,"Geography, Environmental Studies and Archaeology", ,,,D,An optimised gas chromatographic – mass spectrometric method for the chemical characterisation of benzylpiperazine and 1-arypiperazine based drugs,,,Analytical Methods,5,,n/a,n/a,,1759-9679,10.1039/C3AY41020J,,2013,,3,,,,,,,
10000291,Anglia Ruskin University,C,17,"Geography, Environmental Studies and Archaeology", ,,,D,Antarctic terrestrial life – challenging the history of the frozen continent?,,,Biological Reviews,83,2,103,,,1469-185X,10.1111/j.1469-185X.2008.00034.x,,2008,http://onlinelibrary.wiley.com/doi/10.1111/j.1469-185X.2008.00034.x/abstract,6,,,,,,,
