Outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKPRN,Institution,MainPanel,uoaId,UnitOfAssessment,msubId,MultipleSubmission,JointSubmission,OutputTypeId,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsForeignLanguageOutput,IsInterdisciplinary,ProposeDoubleWeighting,ResearchGroup,CitationsApplicable,CitedByCount,CrossReferToUoa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution code (UKPRN),Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Year,URL,Number of additional authors,Non-english,Interdisciplinary,Proposed double-weighted,Research group,Citations applicable,Citation count,Cross- referral requested
10007850,University of Bath,B,8,Chemistry, ,,,D,"""Click-fluors"": Modular fluorescent saccharide sensors based on a 1,2,3-triazole ring",,,Journal of Organic Chemistry,73,7,2871,,,0022-3263,10.1021/jo702584u,,2008,http://dx.doi.org/10.1021/jo702584u,4,,,,Structural Chemistry,Yes,49,
10007850,University of Bath,B,8,Chemistry, ,,,D,"""Inosaminoacids"": novel inositol-amino acid hybrid structures accessed by microbial arene oxidation",,,Chemical Communications,47,16,4799,,,1359-7345,10.1039/c1cc10643k,,2011,http://dx.doi.org/10.1039/c1cc10643k,3,,,,Energy Materials,Yes,17,
10007850,University of Bath,B,8,Chemistry, ,,,D,A bimetallic iron(iii) catalyst for CO2/epoxide coupling,,,Chemical Communications,47,1,212,,,1359-7345,10.1039/C0CC02205E,,2011,http://dx.doi.org/10.1039/C0CC02205E,3,,,,Sustainable Chemical Technologies,Yes,61,
10007850,University of Bath,B,8,Chemistry, ,,,D,A highly selective red-emitting FRET fluorescent molecular probe derived from BODIPY for the detection of cysteine and homocysteine: An experimental and theoretical study,,,Chemical Science,3,4,1049,,,2041-6520,10.1039/c2sc00762b,,2012,http://dx.doi.org/10.1039/c2sc00762b,8,,,,Sensing & Healthcare,Yes,40,
10007850,University of Bath,B,8,Chemistry, ,,,D,A hydride-rich magnesium cluster,,,Angewandte Chemie-International Edition,48,22,4013,,,1433-7851,10.1002/anie.200900878,,2009,http://dx.doi.org/10.1002/anie.200900878,3,,,,Structural Chemistry,Yes,34,
10007850,University of Bath,B,8,Chemistry, ,,,D,"A magnesium-mediated cascade assembly for the atom-economical synthesis of bis(imidazolidine-2,4-dione)s",,,Angewandte Chemie-International Edition,52,20,5364,,,1433-7851,10.1002/anie.201301489,,2013,http://www.scopus.com/inward/record.url?partnerID=yv4JPVwI&eid=2-s2.0-84877254549&md5=6bc9f26196bc270af29cc04cdd55aa9c,2,,,,Structural Chemistry,Yes,2,
10007850,University of Bath,B,8,Chemistry, ,,,D,A pyridinium cation-? interaction sensor for the fluorescent detection of alkyl halides,,,Chemical Communications,47,1,253,,,1359-7345,10.1039/c0cc01420f,,2011,http://dx.doi.org/10.1039/c0cc01420f,10,,,,Sensing & Healthcare,Yes,23,
