Outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKPRN,Institution,MainPanel,uoaId,UnitOfAssessment,msubId,MultipleSubmission,JointSubmission,OutputTypeId,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsForeignLanguageOutput,IsInterdisciplinary,ProposeDoubleWeighting,ResearchGroup,CitationsApplicable,CitedByCount,CrossReferToUoa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution code (UKPRN),Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Year,URL,Number of additional authors,Non-english,Interdisciplinary,Proposed double-weighted,Research group,Citations applicable,Citation count,Cross- referral requested
10007850,University of Bath,B,9,Physics, ,,,D,"""Photonic lantern"" spectral filters in multi-core fibre",,,Optics Express,20,13,13996,,,1094-4087,10.1364/OE.20.013996,,2012,http://dx.doi.org/10.1364/OE.20.013996,4,,,,Fibre & waveguide photonics,Yes,9,
10007850,University of Bath,B,9,Physics, ,,,D,A complex multi-notch astronomical filter to suppress the bright infrared sky,,,Nature Communications,2,,,581,,2041-1723,10.1038/ncomms1584,,2011,http://arxiv.org/abs/1112.1694v1,12,,,,Fibre & waveguide photonics,Yes,18,
10007850,University of Bath,B,9,Physics, ,,,D,A Monte Carlo method for chemical potential determination in single and multiple occupancy crystals,,,EPL (Europhysics Letters),101,1,,10004,,0295-5075,10.1209/0295-5075/101/10004,,2013,http://www.scopus.com/inward/record.url?partnerID=yv4JPVwI&eid=2-s2.0-84872960222&md5=6bc1d5ffbc30dfef9ea0e393a0204285,1,,,,Condensed matter theory,Yes,1,
10007850,University of Bath,B,9,Physics, ,,,D,Accuracy of perturbation theory for nonadiabatic effects in adsorbate-surface dynamics,,,Journal of Chemical Physics,132,18,,184704,,0021-9606,10.1063/1.3424765,,2010,http://dx.doi.org/10.1063/1.3424765,1,,,,Condensed matter theory,Yes,7,
10007850,University of Bath,B,9,Physics, ,,,D,Activation energies for the formation and evaporation of vacancy clusters in silicon,,,Physical Review Letters,100,9,,095503,,0031-9007,10.1103/PhysRevLett.100.095503,,2008,http://dx.doi.org/10.1103/PhysRevLett.100.095503,1,,,,Nanoscience,Yes,10,
10007850,University of Bath,B,9,Physics, ,,,D,Automated mapping of social networks in wild birds,,,Current Biology,22,17,R669,,,0960-9822,10.1016/j.cub.2012.06.037,,2012,http://dx.doi.org/10.1016/j.cub.2012.06.037,7,,Yes,,Condensed matter theory,Yes,10,
10007850,University of Bath,B,9,Physics, ,,,D,Behavioural trait assortment in a social network: patterns and implications,,,Behavioral Ecology and Sociobiology,63,10,1495,,,0340-5443,10.1007/s00265-009-0802-x,,2009,http://dx.doi.org/10.1007/s00265-009-0802-x,5,,Yes,,Condensed matter theory,Yes,41,
